freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.907e+02,9.290e+00,2.010e+01,4.201e+02
1.5,2.976e+02,4.705e+01,9.608e+01,4.408e+02
3.0,1.399e+02,4.256e+01,9.043e+01,2.729e+02
4.4,3.274e+02,3.605e+01,7.767e+01,4.412e+02
5.9,1.149e+03,3.688e+01,7.419e+01,1.260e+03
7.4,2.003e+03,4.341e+01,7.148e+01,2.118e+03
8.9,2.957e+03,3.653e+01,6.889e+01,3.062e+03
10.4,3.739e+03,4.421e+01,7.644e+01,3.860e+03
11.9,4.555e+03,5.852e+01,7.592e+01,4.689e+03
13.3,5.639e+03,6.838e+01,7.743e+01,5.785e+03
14.8,6.688e+03,7.497e+01,7.867e+01,6.842e+03
16.3,7.839e+03,7.673e+01,6.793e+01,7.984e+03
17.8,9.806e+03,7.700e+01,7.500e+01,9.958e+03
19.3,1.219e+04,7.891e+01,7.654e+01,1.234e+04
20.8,1.397e+04,9.469e+01,7.647e+01,1.414e+04
22.2,1.797e+04,1.058e+02,7.378e+01,1.815e+04
23.7,2.010e+04,1.113e+02,7.607e+01,2.029e+04
25.2,2.249e+04,1.280e+02,7.802e+01,2.269e+04
26.7,2.529e+04,1.488e+02,8.274e+01,2.552e+04
28.2,2.845e+04,1.859e+02,8.556e+01,2.873e+04
29.7,3.257e+04,2.455e+02,9.519e+01,3.291e+04
31.1,3.829e+04,3.406e+02,9.680e+01,3.873e+04
32.6,4.465e+04,4.521e+02,8.608e+01,4.519e+04
34.1,5.290e+04,4.893e+02,9.178e+01,5.348e+04
35.6,6.098e+04,4.366e+02,9.263e+01,6.150e+04
37.1,7.022e+04,5.125e+02,8.318e+01,7.081e+04
38.6,8.080e+04,9.265e+02,8.845e+01,8.182e+04
40.0,9.273e+04,1.774e+03,1.293e+02,9.463e+04
41.5,1.112e+05,2.928e+03,2.836e+02,1.144e+05
43.0,1.346e+05,3.183e+03,5.385e+02,1.383e+05
44.5,1.655e+05,2.432e+03,7.323e+02,1.687e+05
46.0,2.069e+05,1.639e+03,8.980e+02,2.094e+05
47.5,2.607e+05,1.466e+03,1.167e+03,2.633e+05
48.9,3.289e+05,1.979e+03,1.571e+03,3.324e+05
50.4,4.195e+05,3.201e+03,2.150e+03,4.248e+05
51.9,5.687e+05,6.472e+03,3.809e+03,5.790e+05
53.4,7.853e+05,1.084e+04,6.180e+03,8.023e+05
54.9,9.955e+05,1.294e+04,8.406e+03,1.017e+06
56.4,1.150e+06,1.076e+04,8.594e+03,1.169e+06
57.8,1.192e+06,8.872e+03,3.944e+03,1.205e+06
59.3,9.813e+05,9.362e+03,2.891e+03,9.936e+05
60.8,7.495e+05,7.735e+03,5.078e+03,7.623e+05
62.3,6.766e+05,4.157e+03,8.322e+03,6.891e+05
63.8,6.545e+05,2.120e+03,1.209e+04,6.687e+05
65.3,6.008e+05,2.330e+03,1.454e+04,6.177e+05
66.7,5.379e+05,3.428e+03,1.391e+04,5.553e+05
68.2,4.516e+05,3.712e+03,9.670e+03,4.650e+05
69.7,3.789e+05,3.042e+03,6.682e+03,3.886e+05
71.2,3.188e+05,3.492e+03,8.243e+03,3.305e+05
72.7,2.765e+05,5.840e+03,1.235e+04,2.947e+05
74.2,2.404e+05,8.588e+03,1.555e+04,2.646e+05
75.6,2.023e+05,8.890e+03,1.414e+04,2.253e+05
77.1,1.706e+05,6.540e+03,9.362e+03,1.865e+05
78.6,1.466e+05,3.690e+03,4.767e+03,1.550e+05
80.1,1.249e+05,2.025e+03,2.072e+03,1.290e+05
81.6,1.039e+05,1.382e+03,1.126e+03,1.064e+05
83.1,9.071e+04,1.056e+03,8.284e+02,9.259e+04
84.5,7.802e+04,1.340e+03,1.087e+03,8.045e+04
86.0,6.787e+04,1.766e+03,1.325e+03,7.097e+04
87.5,5.829e+04,1.917e+03,1.347e+03,6.155e+04
89.0,5.224e+04,1.882e+03,1.190e+03,5.531e+04
90.5,4.643e+04,1.646e+03,9.538e+02,4.903e+04
92.0,4.184e+04,1.143e+03,6.042e+02,4.359e+04
93.4,5.074e+04,7.472e+02,3.523e+02,5.184e+04
94.9,5.990e+04,4.558e+02,1.917e+02,6.054e+04
96.4,6.596e+04,4.132e+02,2.193e+02,6.659e+04
97.9,6.435e+04,4.274e+02,3.405e+02,6.512e+04
99.4,7.898e+04,7.954e+02,7.387e+02,8.051e+04
100.9,9.723e+04,8.448e+02,9.121e+02,9.899e+04
102.3,1.140e+05,6.407e+02,7.760e+02,1.154e+05
103.8,1.234e+05,6.416e+02,6.778e+02,1.247e+05
105.3,1.374e+05,5.953e+02,6.363e+02,1.386e+05
106.8,1.770e+05,7.639e+02,5.924e+02,1.784e+05
108.3,2.130e+05,1.225e+03,6.063e+02,2.148e+05
109.8,2.237e+05,1.871e+03,6.063e+02,2.262e+05
111.2,2.192e+05,2.438e+03,6.091e+02,2.223e+05
112.7,2.173e+05,2.697e+03,6.429e+02,2.206e+05
114.2,2.118e+05,2.925e+03,6.841e+02,2.154e+05
115.7,1.992e+05,3.237e+03,7.945e+02,2.032e+05
117.2,1.840e+05,3.047e+03,8.084e+02,1.878e+05
118.7,1.616e+05,2.766e+03,7.108e+02,1.651e+05
120.1,1.522e+05,3.258e+03,8.609e+02,1.563e+05
121.6,1.572e+05,4.313e+03,1.154e+03,1.627e+05
123.1,1.472e+05,4.039e+03,1.105e+03,1.524e+05
124.6,1.127e+05,3.395e+03,8.803e+02,1.170e+05
126.1,8.013e+04,2.679e+03,9.009e+02,8.371e+04
127.6,7.766e+04,2.697e+03,1.313e+03,8.167e+04
129.0,1.232e+05,6.101e+03,9.670e+03,1.390e+05
130.5,1.693e+05,8.073e+03,1.613e+04,1.935e+05
132.0,9.535e+04,3.077e+03,3.048e+03,1.015e+05
133.5,1.706e+04,5.125e+02,3.341e+02,1.790e+04
135.0,6.062e+03,1.901e+02,1.799e+02,6.432e+03
136.5,6.164e+03,1.825e+02,1.659e+02,6.512e+03
137.9,5.883e+03,1.554e+02,1.550e+02,6.193e+03
139.4,6.333e+03,1.376e+02,1.339e+02,6.605e+03
140.9,7.180e+03,1.341e+02,1.160e+02,7.430e+03
142.4,8.732e+03,1.267e+02,1.052e+02,8.964e+03
143.9,1.030e+04,1.231e+02,1.044e+02,1.052e+04
145.4,1.139e+04,1.189e+02,1.073e+02,1.162e+04
146.8,1.270e+04,1.122e+02,1.001e+02,1.291e+04
148.3,1.622e+04,1.200e+02,1.073e+02,1.645e+04
149.8,2.182e+04,1.434e+02,1.171e+02,2.208e+04
151.3,2.357e+04,1.585e+02,1.262e+02,2.386e+04
152.8,2.266e+04,1.741e+02,1.330e+02,2.297e+04
154.3,2.227e+04,1.697e+02,1.247e+02,2.256e+04
155.7,2.034e+04,1.486e+02,1.122e+02,2.060e+04
157.2,1.772e+04,1.463e+02,1.097e+02,1.798e+04
158.7,1.599e+04,1.469e+02,1.185e+02,1.625e+04
