freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.195e+02,6.622e+00,1.928e+01,1.454e+02
1.5,7.949e+01,2.074e+01,6.354e+01,1.638e+02
3.1,3.053e+01,2.220e+01,6.266e+01,1.154e+02
4.6,3.475e+02,2.216e+01,6.099e+01,4.307e+02
6.2,1.231e+03,2.156e+01,6.197e+01,1.314e+03
7.7,2.025e+03,1.916e+01,5.787e+01,2.102e+03
9.3,2.976e+03,1.934e+01,6.148e+01,3.057e+03
10.8,4.098e+03,3.427e+01,6.728e+01,4.200e+03
12.3,5.206e+03,6.046e+01,6.953e+01,5.336e+03
13.9,6.455e+03,8.281e+01,6.371e+01,6.602e+03
15.4,6.966e+03,7.671e+01,6.568e+01,7.109e+03
17.0,7.882e+03,3.703e+01,6.486e+01,7.984e+03
18.5,1.030e+04,2.246e+01,6.308e+01,1.039e+04
20.1,1.342e+04,2.179e+01,6.581e+01,1.351e+04
21.6,1.604e+04,2.757e+01,7.213e+01,1.614e+04
23.1,1.841e+04,3.106e+01,7.710e+01,1.852e+04
24.7,2.075e+04,3.566e+01,8.712e+01,2.088e+04
26.2,2.309e+04,4.295e+01,9.717e+01,2.323e+04
27.8,2.487e+04,4.547e+01,1.133e+02,2.503e+04
29.3,2.688e+04,5.647e+01,1.387e+02,2.707e+04
30.9,3.062e+04,6.064e+01,1.757e+02,3.086e+04
32.4,3.504e+04,6.052e+01,2.295e+02,3.533e+04
34.0,4.007e+04,6.348e+01,3.286e+02,4.046e+04
35.5,4.693e+04,7.044e+01,4.898e+02,4.749e+04
37.0,5.492e+04,6.940e+01,7.244e+02,5.572e+04
38.6,6.040e+04,9.293e+01,1.020e+03,6.151e+04
40.1,6.298e+04,1.227e+02,1.610e+03,6.471e+04
41.7,6.231e+04,1.256e+02,2.449e+03,6.488e+04
43.2,6.614e+04,1.424e+02,3.942e+03,7.022e+04
44.8,6.927e+04,1.786e+02,7.941e+03,7.739e+04
46.3,6.830e+04,2.452e+02,1.837e+04,8.691e+04
47.8,6.742e+04,3.917e+02,3.323e+04,1.010e+05
49.4,6.710e+04,5.479e+02,3.322e+04,1.009e+05
50.9,6.583e+04,6.612e+02,2.232e+04,8.881e+04
52.5,6.503e+04,7.046e+02,1.189e+04,7.762e+04
54.0,7.203e+04,9.609e+02,7.980e+03,8.097e+04
55.6,8.396e+04,1.648e+03,8.376e+03,9.399e+04
57.1,1.006e+05,3.255e+03,1.083e+04,1.147e+05
58.6,1.139e+05,6.566e+03,1.654e+04,1.370e+05
60.2,1.210e+05,8.798e+03,1.974e+04,1.495e+05
61.7,1.290e+05,8.759e+03,1.805e+04,1.558e+05
63.3,1.412e+05,8.946e+03,1.582e+04,1.660e+05
64.8,1.674e+05,1.299e+04,2.036e+04,2.008e+05
66.4,1.852e+05,1.749e+04,2.704e+04,2.297e+05
67.9,1.792e+05,1.928e+04,3.016e+04,2.287e+05
69.4,1.512e+05,1.563e+04,2.555e+04,1.923e+05
71.0,1.269e+05,1.032e+04,1.797e+04,1.552e+05
72.5,1.158e+05,8.425e+03,1.489e+04,1.391e+05
74.1,1.055e+05,9.938e+03,1.636e+04,1.318e+05
75.6,9.680e+04,1.161e+04,1.663e+04,1.250e+05
77.2,8.690e+04,1.195e+04,1.567e+04,1.145e+05
78.7,7.454e+04,1.154e+04,1.479e+04,1.009e+05
