freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.491e+01,2.629e+02,8.614e+01,3.940e+02
1.5,2.107e+02,2.018e+02,1.003e+02,5.128e+02
3.0,2.810e+02,8.682e+01,8.174e+01,4.495e+02
4.6,3.630e+02,3.997e+02,8.541e+01,8.481e+02
6.1,3.680e+02,1.365e+03,8.857e+01,1.821e+03
7.6,3.430e+02,2.246e+03,9.336e+01,2.683e+03
9.1,3.342e+02,3.202e+03,9.168e+01,3.628e+03
10.7,2.858e+02,4.379e+03,9.091e+01,4.756e+03
12.2,3.099e+02,5.862e+03,9.005e+01,6.262e+03
13.7,3.123e+02,7.637e+03,8.537e+01,8.035e+03
15.2,3.275e+02,1.003e+04,1.011e+02,1.045e+04
16.7,3.418e+02,1.306e+04,9.408e+01,1.350e+04
18.3,4.230e+02,1.684e+04,8.760e+01,1.735e+04
19.8,4.567e+02,2.106e+04,8.513e+01,2.160e+04
21.3,4.381e+02,2.533e+04,8.209e+01,2.586e+04
22.8,4.015e+02,2.921e+04,8.248e+01,2.970e+04
24.4,3.771e+02,3.409e+04,8.819e+01,3.456e+04
25.9,3.572e+02,4.172e+04,1.546e+02,4.223e+04
27.4,3.613e+02,4.862e+04,2.982e+02,4.928e+04
28.9,4.913e+02,4.883e+04,5.145e+02,4.984e+04
30.5,6.964e+02,6.208e+04,1.180e+03,6.396e+04
32.0,7.598e+02,9.078e+04,2.607e+03,9.414e+04
33.5,9.900e+02,9.936e+04,4.659e+03,1.050e+05
35.0,1.228e+03,7.627e+04,6.273e+03,8.377e+04
36.5,1.210e+03,6.293e+04,8.061e+03,7.221e+04
38.1,1.446e+03,7.299e+04,1.256e+04,8.700e+04
39.6,2.138e+03,9.209e+04,1.974e+04,1.140e+05
41.1,3.435e+03,1.149e+05,3.561e+04,1.539e+05
42.6,4.572e+03,1.369e+05,5.447e+04,1.959e+05
44.2,4.797e+03,1.636e+05,5.991e+04,2.283e+05
45.7,3.680e+03,1.819e+05,4.773e+04,2.333e+05
47.2,1.933e+03,1.793e+05,3.885e+04,2.201e+05
48.7,1.280e+03,1.836e+05,4.618e+04,2.311e+05
50.2,1.254e+03,1.907e+05,6.331e+04,2.552e+05
51.8,1.524e+03,2.004e+05,9.817e+04,3.001e+05
53.3,2.137e+03,2.010e+05,1.477e+05,3.508e+05
54.8,3.123e+03,2.067e+05,1.852e+05,3.950e+05
56.3,3.462e+03,2.141e+05,1.763e+05,3.938e+05
57.9,3.803e+03,2.441e+05,1.670e+05,4.149e+05
59.4,5.715e+03,2.824e+05,1.985e+05,4.866e+05
60.9,7.585e+03,3.184e+05,2.484e+05,5.743e+05
62.4,8.267e+03,3.687e+05,2.891e+05,6.660e+05
63.9,7.512e+03,4.106e+05,2.999e+05,7.180e+05
65.5,5.901e+03,4.203e+05,2.798e+05,7.060e+05
67.0,4.827e+03,4.117e+05,2.555e+05,6.720e+05
68.5,3.878e+03,4.109e+05,2.463e+05,6.610e+05
70.0,2.949e+03,4.105e+05,2.318e+05,6.452e+05
71.6,2.354e+03,3.780e+05,1.920e+05,5.724e+05
73.1,1.963e+03,3.307e+05,1.496e+05,4.823e+05
74.6,1.822e+03,2.947e+05,1.243e+05,4.208e+05
76.1,1.839e+03,2.608e+05,1.027e+05,3.653e+05
77.6,1.780e+03,2.273e+05,7.969e+04,3.087e+05
79.2,2.076e+03,1.977e+05,5.955e+04,2.593e+05
80.7,3.346e+03,1.755e+05,4.589e+04,2.248e+05
82.2,5.817e+03,1.529e+05,3.447e+04,1.932e+05
83.7,8.177e+03,1.390e+05,2.458e+04,1.717e+05
85.3,8.506e+03,1.333e+05,1.796e+04,1.598e+05
86.8,9.022e+03,1.298e+05,1.386e+04,1.527e+05
88.3,1.103e+04,1.263e+05,1.089e+04,1.482e+05
89.8,1.453e+04,1.256e+05,8.362e+03,1.485e+05
91.4,1.406e+04,1.249e+05,5.769e+03,1.448e+05
92.9,1.305e+04,1.267e+05,6.769e+03,1.465e+05
94.4,1.186e+04,1.331e+05,1.142e+04,1.563e+05
95.9,1.194e+04,1.386e+05,1.762e+04,1.682e+05
97.4,1.373e+04,1.456e+05,2.467e+04,1.840e+05
99.0,1.525e+04,1.559e+05,3.186e+04,2.030e+05
100.5,1.538e+04,1.646e+05,3.550e+04,2.155e+05
102.0,1.549e+04,1.675e+05,3.620e+04,2.192e+05
103.5,1.466e+04,1.598e+05,3.565e+04,2.101e+05
105.1,1.296e+04,1.458e+05,3.467e+04,1.934e+05
106.6,1.237e+04,1.470e+05,3.733e+04,1.967e+05
108.1,1.247e+04,1.538e+05,4.139e+04,2.076e+05
