freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.213e+01,3.216e+02,9.349e+01,4.572e+02
1.5,1.512e+02,2.181e+02,1.034e+02,4.727e+02
3.0,1.666e+02,5.532e+01,6.833e+01,2.903e+02
4.5,1.785e+02,3.348e+02,6.710e+01,5.805e+02
6.0,1.883e+02,1.253e+03,7.036e+01,1.512e+03
7.6,1.854e+02,2.152e+03,7.989e+01,2.417e+03
9.1,1.689e+02,3.090e+03,7.935e+01,3.338e+03
10.6,1.697e+02,4.201e+03,9.047e+01,4.461e+03
12.1,1.728e+02,5.582e+03,8.735e+01,5.842e+03
13.6,1.903e+02,7.370e+03,8.764e+01,7.648e+03
15.1,1.990e+02,9.825e+03,8.654e+01,1.011e+04
16.6,1.919e+02,1.292e+04,7.812e+01,1.319e+04
18.1,1.965e+02,1.635e+04,7.822e+01,1.663e+04
19.6,1.850e+02,2.070e+04,7.682e+01,2.096e+04
21.2,1.996e+02,2.558e+04,7.023e+01,2.585e+04
22.7,2.367e+02,3.035e+04,6.851e+01,3.065e+04
24.2,2.499e+02,3.629e+04,8.822e+01,3.663e+04
25.7,2.225e+02,4.353e+04,1.512e+02,4.391e+04
27.2,2.182e+02,5.221e+04,3.032e+02,5.273e+04
28.7,2.679e+02,5.876e+04,5.024e+02,5.953e+04
30.2,3.881e+02,6.845e+04,7.493e+02,6.958e+04
31.7,4.960e+02,9.237e+04,1.413e+03,9.428e+04
33.2,5.604e+02,1.165e+05,2.707e+03,1.198e+05
34.8,6.474e+02,1.170e+05,4.277e+03,1.219e+05
36.3,6.512e+02,1.041e+05,5.982e+03,1.108e+05
37.8,6.195e+02,1.053e+05,8.992e+03,1.149e+05
39.3,7.143e+02,1.158e+05,1.528e+04,1.318e+05
40.8,8.341e+02,1.290e+05,2.735e+04,1.572e+05
42.3,9.375e+02,1.364e+05,4.024e+04,1.775e+05
43.8,1.076e+03,1.451e+05,5.173e+04,1.979e+05
45.3,1.028e+03,1.573e+05,5.568e+04,2.140e+05
46.8,9.275e+02,1.460e+05,5.220e+04,1.991e+05
48.4,1.031e+03,1.426e+05,5.799e+04,2.016e+05
49.9,1.029e+03,1.424e+05,6.491e+04,2.083e+05
51.4,1.284e+03,1.539e+05,7.682e+04,2.321e+05
52.9,1.783e+03,1.615e+05,9.716e+04,2.604e+05
54.4,2.424e+03,1.635e+05,1.211e+05,2.871e+05
55.9,2.544e+03,1.658e+05,1.324e+05,3.007e+05
57.4,1.948e+03,1.623e+05,1.387e+05,3.030e+05
58.9,1.711e+03,1.935e+05,1.695e+05,3.647e+05
60.4,1.343e+03,2.558e+05,1.985e+05,4.557e+05
62.0,9.549e+02,3.160e+05,2.185e+05,5.354e+05
63.5,8.379e+02,3.503e+05,2.098e+05,5.609e+05
65.0,1.091e+03,3.535e+05,1.741e+05,5.288e+05
66.5,1.873e+03,3.479e+05,1.477e+05,4.974e+05
68.0,3.037e+03,3.397e+05,1.380e+05,4.808e+05
69.5,3.789e+03,3.519e+05,1.475e+05,5.032e+05
71.0,4.591e+03,3.640e+05,1.593e+05,5.279e+05
72.5,5.296e+03,3.780e+05,1.676e+05,5.509e+05
74.0,6.643e+03,3.882e+05,1.641e+05,5.590e+05
75.6,9.058e+03,3.955e+05,1.504e+05,5.550e+05
77.1,1.193e+04,3.994e+05,1.331e+05,5.445e+05
78.6,1.484e+04,3.949e+05,1.204e+05,5.301e+05
80.1,1.707e+04,3.873e+05,1.117e+05,5.161e+05
81.6,1.633e+04,3.636e+05,9.927e+04,4.792e+05
83.1,1.844e+04,3.419e+05,9.478e+04,4.551e+05
84.6,2.088e+04,3.230e+05,8.925e+04,4.331e+05
86.1,2.087e+04,2.985e+05,7.848e+04,3.979e+05
87.6,2.037e+04,2.746e+05,6.636e+04,3.613e+05
89.2,1.909e+04,2.553e+05,5.630e+04,3.307e+05
90.7,1.712e+04,2.372e+05,4.809e+04,3.024e+05
92.2,1.378e+04,2.197e+05,4.128e+04,2.747e+05
93.7,1.093e+04,2.096e+05,3.826e+04,2.588e+05
95.2,1.061e+04,2.053e+05,3.946e+04,2.554e+05
96.7,9.269e+03,1.969e+05,3.943e+04,2.455e+05
98.2,8.004e+03,1.860e+05,3.831e+04,2.323e+05
99.7,7.718e+03,1.740e+05,3.616e+04,2.179e+05
101.2,7.647e+03,1.611e+05,3.337e+04,2.022e+05
102.8,7.047e+03,1.484e+05,3.198e+04,1.874e+05
104.3,6.449e+03,1.269e+05,3.250e+04,1.658e+05
105.8,9.021e+03,1.160e+05,3.642e+04,1.614e+05
107.3,1.331e+04,1.281e+05,4.724e+04,1.886e+05
108.8,1.310e+04,1.462e+05,6.247e+04,2.218e+05
110.3,1.938e+04,1.655e+05,7.641e+04,2.613e+05
111.8,2.442e+04,1.754e+05,7.966e+04,2.795e+05
113.3,2.694e+04,1.648e+05,7.126e+04,2.630e+05
114.9,2.554e+04,1.494e+05,6.304e+04,2.380e+05
116.4,2.818e+04,1.278e+05,5.279e+04,2.087e+05
117.9,2.506e+04,1.004e+05,3.758e+04,1.630e+05
119.4,1.958e+04,1.161e+05,4.092e+04,1.766e+05
120.9,2.339e+04,1.508e+05,5.252e+04,2.267e+05
122.4,2.133e+04,1.580e+05,5.408e+04,2.334e+05
123.9,1.428e+04,1.710e+05,5.982e+04,2.451e+05
125.4,1.061e+04,1.648e+05,5.899e+04,2.344e+05
126.9,9.388e+03,1.586e+05,5.759e+04,2.255e+05
128.5,8.767e+03,1.557e+05,5.771e+04,2.222e+05
130.0,9.397e+03,1.543e+05,5.879e+04,2.225e+05
131.5,1.388e+04,1.356e+05,5.490e+04,2.044e+05
133.0,1.046e+04,4.795e+04,2.210e+04,8.050e+04
134.5,6.249e+03,9.822e+03,7.629e+03,2.370e+04
136.0,4.859e+03,9.803e+03,8.859e+03,2.352e+04
137.5,5.512e+03,4.990e+03,5.429e+03,1.593e+04
139.0,7.253e+03,2.139e+03,2.869e+03,1.226e+04
140.5,7.317e+03,1.555e+03,1.910e+03,1.078e+04
142.1,7.536e+03,1.264e+03,1.508e+03,1.031e+04
143.6,7.739e+03,1.051e+03,1.292e+03,1.008e+04
145.1,8.111e+03,9.600e+02,1.220e+03,1.029e+04
146.6,8.451e+03,8.612e+02,1.188e+03,1.050e+04
